ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2022-01-18,173.32169654289848,158.9336689441919,174.0137991620328,173.32169654289848,173.32169654289848,-6.594104347369647,-6.594104347369647,-6.594104347369647,9.9280862750042,9.9280862750042,9.9280862750042,0.5784665131804724,0.5784665131804724,0.5784665131804724,-17.100657135554318,-17.100657135554318,-17.100657135554318,0.0,0.0,0.0,166.72759219552884
2022-01-19,172.98648722139623,158.90161062865909,173.66335156835837,172.98648722139623,172.98648722139623,-6.381024910386096,-6.381024910386096,-6.381024910386096,9.9280862750042,9.9280862750042,9.9280862750042,0.3425052923615386,0.3425052923615386,0.3425052923615386,-16.651616477751833,-16.651616477751833,-16.651616477751833,0.0,0.0,0.0,166.60546231101014
2022-01-20,172.65127789989398,160.03741082738327,173.68048335538737,172.65127789989398,172.65127789989398,-5.936609839022859,-5.936609839022859,-5.936609839022859,9.9280862750042,9.9280862750042,9.9280862750042,0.29574464519472077,0.29574464519472077,0.29574464519472077,-16.160440759221782,-16.160440759221782,-16.160440759221782,0.0,0.0,0.0,166.71466806087113
2022-01-21,172.31606857839174,160.43197316536228,174.71043975403182,172.31606857839174,172.31606857839174,-5.095982198556671,-5.095982198556671,-5.095982198556671,9.9280862750042,9.9280862750042,9.9280862750042,0.6069431579895023,0.6069431579895023,0.6069431579895023,-15.631011631550374,-15.631011631550374,-15.631011631550374,0.0,0.0,0.0,167.22008637983507
2022-01-24,171.31044061388502,160.5341071681227,175.46542703080976,171.31044061388502,171.31044061388502,-3.270895998492049,-3.270895998492049,-3.270895998492049,9.9280862750042,9.9280862750042,9.9280862750042,0.6583620483958285,0.6583620483958285,0.6583620483958285,-13.857344321892077,-13.857344321892077,-13.857344321892077,0.0,0.0,0.0,168.03954461539297
2022-01-25,170.97523129238274,160.5335040288454,175.73845757286867,170.97523129238274,170.97523129238274,-2.7141453765159573,-2.7141453765159573,-2.7141453765159573,9.9280862750042,9.9280862750042,9.9280862750042,0.5784665131787649,0.5784665131787649,0.5784665131787649,-13.22069816469892,-13.22069816469892,-13.22069816469892,0.0,0.0,0.0,168.2610859158668
2022-01-26,170.64002197088053,160.96223744792317,175.72030033992735,170.64002197088053,170.64002197088053,-2.2996830609414616,-2.2996830609414616,-2.2996830609414616,9.9280862750042,9.9280862750042,9.9280862750042,0.3425052923614307,0.3425052923614307,0.3425052923614307,-12.570274628307091,-12.570274628307091,-12.570274628307091,0.0,0.0,0.0,168.34033890993908
2022-01-27,170.30481264937828,161.55484982122493,176.13880408438044,170.30481264937828,170.30481264937828,-1.6879917652452205,-1.6879917652452205,-1.6879917652452205,9.9280862750042,9.9280862750042,9.9280862750042,0.2957446451947203,0.2957446451947203,0.2957446451947203,-11.91182268544414,-11.91182268544414,-11.91182268544414,0.0,0.0,0.0,168.61682088413306
2022-01-28,169.96960332787603,161.75782960645978,176.53315559830173,169.96960332787603,169.96960332787603,-0.7162682210003573,-0.7162682210003573,-0.7162682210003573,9.9280862750042,9.9280862750042,9.9280862750042,0.6069431579883536,0.6069431579883536,0.6069431579883536,-11.251297653992907,-11.251297653992907,-11.251297653992907,0.0,0.0,0.0,169.25333510687568
2022-01-31,168.9639753633693,163.04521083456362,177.76327671615587,168.9639753633693,168.9639753633693,1.2675487384657464,1.2675487384657464,1.2675487384657464,9.9280862750042,9.9280862750042,9.9280862750042,0.6583620483972209,0.6583620483972209,0.6583620483972209,-9.318899584935673,-9.318899584935673,-9.318899584935673,0.0,0.0,0.0,170.23152410183502
2022-02-01,168.62876604186707,162.6132828868158,177.3748242966137,168.62876604186707,168.62876604186707,1.7945806754714158,1.7945806754714158,1.7945806754714158,9.9280862750042,9.9280862750042,9.9280862750042,0.5784665131789827,0.5784665131789827,0.5784665131789827,-8.711972112711766,-8.711972112711766,-8.711972112711766,0.0,0.0,0.0,170.4233467173385
2022-02-02,168.2935567203648,162.82272942967512,177.97082892208874,168.2935567203648,168.2935567203648,2.1366408546208393,2.1366408546208393,2.1366408546208393,9.9280862750042,9.9280862750042,9.9280862750042,0.34250529236115146,0.34250529236115146,0.34250529236115146,-8.133950712744511,-8.133950712744511,-8.133950712744511,0.0,0.0,0.0,170.43019757498564
2022-02-03,167.95834739886257,163.73581484711522,177.5270904049157,167.95834739886257,167.95834739886257,2.6330377445483184,2.6330377445483184,2.6330377445483184,9.9280862750042,9.9280862750042,9.9280862750042,0.2957446451960274,0.2957446451960274,0.2957446451960274,-7.590793175651907,-7.590793175651907,-7.590793175651907,0.0,0.0,0.0,170.5913851434109
2022-02-04,167.62313807736032,163.0302164350029,178.33525948863488,167.62313807736032,167.62313807736032,3.4468402344826545,3.4468402344826545,3.4468402344826545,9.9280862750042,9.9280862750042,9.9280862750042,0.6069431579918387,0.6069431579918387,0.6069431579918387,-7.088189198513383,-7.088189198513383,-7.088189198513383,0.0,0.0,0.0,171.069978311843
2022-02-07,166.61751011285358,163.5634886324689,178.84775302458888,166.61751011285358,166.61751011285358,4.711774224733509,4.711774224733509,4.711774224733509,9.9280862750042,9.9280862750042,9.9280862750042,0.6583620483970499,0.6583620483970499,0.6583620483970499,-5.874674098667739,-5.874674098667739,-5.874674098667739,0.0,0.0,0.0,171.3292843375871
2022-02-08,166.282300775133,164.18128860871272,178.43396251507983,166.282300775133,166.282300775133,4.923908138578158,4.923908138578158,4.923908138578158,9.9280862750042,9.9280862750042,9.9280862750042,0.5784665131782378,0.5784665131782378,0.5784665131782378,-5.582644649604278,-5.582644649604278,-5.582644649604278,0.0,0.0,0.0,171.20620891371115
2022-02-09,165.94709143741247,163.7827202846828,178.38010862246531,165.94709143741247,165.94709143741247,4.918170616207807,4.918170616207807,4.918170616207807,9.9280862750042,9.9280862750042,9.9280862750042,0.34250529236087235,0.34250529236087235,0.34250529236087235,-5.3524209511572645,-5.3524209511572645,-5.3524209511572645,0.0,0.0,0.0,170.86526205362028
2022-02-10,165.61188209969188,163.0485366626162,178.21559426554015,165.61188209969188,165.61188209969188,5.037634480693768,5.037634480693768,5.037634480693768,9.9280862750042,9.9280862750042,9.9280862750042,0.2957446451932484,0.2957446451932484,0.2957446451932484,-5.1861964395036795,-5.1861964395036795,-5.1861964395036795,0.0,0.0,0.0,170.64951658038564
2022-02-11,165.27667276197135,163.4552201459979,178.1487443692706,165.27667276197135,165.27667276197135,5.449732730894162,5.449732730894162,5.449732730894162,9.9280862750042,9.9280862750042,9.9280862750042,0.6069431579906901,0.6069431579906901,0.6069431579906901,-5.0852967021007265,-5.0852967021007265,-5.0852967021007265,0.0,0.0,0.0,170.72640549286552
2022-02-14,164.27104474880966,162.443277009005,176.9876743535523,164.27104474880966,164.27104474880966,5.412826407482198,5.412826407482198,5.412826407482198,9.9280862750042,9.9280862750042,9.9280862750042,0.6583620483984423,0.6583620483984423,0.6583620483984423,-5.1736219159204415,-5.1736219159204415,-5.1736219159204415,0.0,0.0,0.0,169.68387115629184
2022-02-15,163.93583541108907,161.85082902850655,175.91375709884926,163.93583541108907,163.93583541108907,5.178437551712468,5.178437551712468,5.178437551712468,9.9280862750042,9.9280862750042,9.9280862750042,0.5784665131803884,0.5784665131803884,0.5784665131803884,-5.32811523647212,-5.32811523647212,-5.32811523647212,0.0,0.0,0.0,169.11427296280155
2022-02-16,163.60062607336852,160.97455492673848,175.240186792866,163.60062607336852,163.60062607336852,4.730643874314268,4.730643874314268,4.730643874314268,9.9280862750042,9.9280862750042,9.9280862750042,0.34250529236093596,0.34250529236093596,0.34250529236093596,-5.539947693050866,-5.539947693050866,-5.539947693050866,0.0,0.0,0.0,168.33126994768278
2022-02-17,163.26541673564796,160.49701887523076,174.94789404289443,163.26541673564796,163.26541673564796,4.41932806775807,4.41932806775807,4.41932806775807,9.9280862750042,9.9280862750042,9.9280862750042,0.2957446451945555,0.2957446451945555,0.2957446451945555,-5.804502852440683,-5.804502852440683,-5.804502852440683,0.0,0.0,0.0,167.68474480340603
2022-02-18,162.9302073979274,160.06059056827405,174.0648392485577,162.9302073979274,162.9302073979274,4.418818111317421,4.418818111317421,4.418818111317421,9.9280862750042,9.9280862750042,9.9280862750042,0.6069431579908913,0.6069431579908913,0.6069431579908913,-6.116211321677668,-6.116211321677668,-6.116211321677668,0.0,0.0,0.0,167.34902550924483
2022-02-22,161.58937004704518,157.0154985983388,171.6665003125673,161.58937004704518,161.58937004704518,2.8126814798662894,2.8126814798662894,2.8126814798662894,9.9280862750042,9.9280862750042,9.9280862750042,0.5784665131796435,0.5784665131796435,0.5784665131796435,-7.6938713083175525,-7.6938713083175525,-7.6938713083175525,0.0,0.0,0.0,164.40205152691146
2022-02-23,161.2541607093246,155.8476720716721,170.60674202882413,161.2541607093246,161.2541607093246,2.1407004243767593,2.1407004243767593,2.1407004243767593,9.9280862750042,9.9280862750042,9.9280862750042,0.34250529236065685,0.34250529236065685,0.34250529236065685,-8.129891142988097,-8.129891142988097,-8.129891142988097,0.0,0.0,0.0,163.39486113370134
2022-02-24,160.918951371604,155.28950137260466,169.51554875307886,160.918951371604,160.918951371604,1.6593844361960683,1.6593844361960683,1.6593844361960683,9.9280862750042,9.9280862750042,9.9280862750042,0.2957446451945552,0.2957446451945552,0.2957446451945552,-8.564446484002683,-8.564446484002683,-8.564446484002683,0.0,0.0,0.0,162.57833580780007
2022-02-25,160.58374203388348,154.72824838061422,169.7895395449058,160.58374203388348,160.58374203388348,1.54696693239629,1.54696693239629,1.54696693239629,9.9280862750042,9.9280862750042,9.9280862750042,0.6069431579897425,0.6069431579897425,0.6069431579897425,-8.988062500597652,-8.988062500597652,-8.988062500597652,0.0,0.0,0.0,162.13070896627977
2022-02-28,159.57811402072178,152.9750410967976,167.37979606248587,159.57811402072178,159.57811402072178,0.48660747650937475,0.48660747650937475,0.48660747650937475,9.9280862750042,9.9280862750042,9.9280862750042,0.6583620484012267,0.6583620484012267,0.6583620484012267,-10.099840846896052,-10.099840846896052,-10.099840846896052,0.0,0.0,0.0,160.06472149723115
2022-03-01,159.24290468300123,151.8158000897449,166.730254013849,159.24290468300123,159.24290468300123,0.11864788795590618,0.11864788795590618,0.11864788795590618,9.9280862750042,9.9280862750042,9.9280862750042,0.5784665131798612,0.5784665131798612,0.5784665131798612,-10.387904900228156,-10.387904900228156,-10.387904900228156,0.0,0.0,0.0,159.36155257095714
2022-03-02,158.90769534528067,151.65139727579623,165.85191112250354,158.90769534528067,158.90769534528067,-0.35077010860677976,-0.35077010860677976,-0.35077010860677976,9.9280862750042,9.9280862750042,9.9280862750042,0.3425052923605489,0.3425052923605489,0.3425052923605489,-10.621361675971526,-10.621361675971526,-10.621361675971526,0.0,0.0,0.0,158.5569252366739
2022-03-03,158.57248600756012,150.54500360492136,165.9473690835288,158.57248600756012,158.57248600756012,-0.5695550088022878,-0.5695550088022878,-0.5695550088022878,9.9280862750042,9.9280862750042,9.9280862750042,0.29574464519242993,0.29574464519242993,0.29574464519242993,-10.793385928998916,-10.793385928998916,-10.793385928998916,0.0,0.0,0.0,158.00293099875782
2022-03-04,158.23727666983953,150.61749433552214,165.54133769954032,158.23727666983953,158.23727666983953,-0.36311116272022326,-0.36311116272022326,-0.36311116272022326,9.9280862750042,9.9280862750042,9.9280862750042,0.6069431579899437,0.6069431579899437,0.6069431579899437,-10.898140595714365,-10.898140595714365,-10.898140595714365,0.0,0.0,0.0,157.8741655071193
2022-03-07,157.2316486566779,149.5699986284603,163.9819162327147,157.2316486566779,157.2316486566779,-0.1812105456733877,-0.1812105456733877,-0.1812105456733877,9.9280862750042,9.9280862750042,9.9280862750042,0.6583620484010557,0.6583620484010557,0.6583620484010557,-10.76765886907864,-10.76765886907864,-10.76765886907864,0.0,0.0,0.0,157.0504381110045
2022-03-08,156.8964393189573,149.12749955115476,164.36140922395856,156.8964393189573,156.8964393189573,-0.06200564110064756,-0.06200564110064756,-0.06200564110064756,9.9280862750042,9.9280862750042,9.9280862750042,0.5784665131791163,0.5784665131791163,0.5784665131791163,-10.56855842928396,-10.56855842928396,-10.56855842928396,0.0,0.0,0.0,156.83443367785665
2022-03-09,156.56122998123672,149.11471668002122,164.11484089928308,156.56122998123672,156.56122998123672,-0.02074683274261499,-0.02074683274261499,-0.02074683274261499,9.9280862750042,9.9280862750042,9.9280862750042,0.3425052923612496,0.3425052923612496,0.3425052923612496,-10.291338400108064,-10.291338400108064,-10.291338400108064,0.0,0.0,0.0,156.5404831484941
2022-03-10,156.2260206435162,148.94513714601783,164.1402891632965,156.2260206435162,156.2260206435162,0.28596707773816,0.28596707773816,0.28596707773816,9.9280862750042,9.9280862750042,9.9280862750042,0.2957446451930831,0.2957446451930831,0.2957446451930831,-9.937863842459125,-9.937863842459125,-9.937863842459125,0.0,0.0,0.0,156.51198772125434
