Model,RMSE,MAE,MAPE,Directional Accuracy (%)
LSTM,5.624626441411039,4.64498317693243,2.0759687647343594,54.666666666666664
GRU,8.729745212475722,8.164666766880577,3.5020934928456886,44.44444444444444
Random Forest,35.15547762491163,33.479197479279414,14.519183716262921,69.46564885496184
ARIMA,38.200508994116426,35.42919768428367,15.449387262438016,39.1025641025641
